Longitude,Latitude,Lat,long,Adres,City,Type Lader,
424407,5187607,51.87607,4.24407,Shannonweg 82 Botlek Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1306034 mennekes,"51.87607,4.24407"
435327,5186611,51.86611,4.35327,Overhage 3 Hoogvliet Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1306025 mennekes,"51.86611,4.35327"
435327,5186611,51.86611,4.35327,Overhage 3 Hoogvliet Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1306025 mennekes,"51.86611,4.35327"
436847,5186625,51.86625,4.36847,Noordzijdsedijk 143157 Hoogvliet Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309013 mennekes,"51.86625,4.36847"
436847,5186625,51.86625,4.36847,Noordzijdsedijk 143157 Hoogvliet Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309013 mennekes,"51.86625,4.36847"
437725,5186692,51.86692,4.37725,Mandenmakerstraat 84 Hoogvliet Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309027 mennekes,"51.86692,4.37725"
437725,5186692,51.86692,4.37725,Mandenmakerstraat 84 Hoogvliet Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309027 mennekes,"51.86692,4.37725"
4.40097E+14,5.19444E+14,51.94438171,4.400971889,Vareseweg 125 Rotterdam,Rotterdam,Stopcontact NewMotion 02004117 mennekes,"51.9443817138672,4.40097188949584"
4415504,51926176,51.926176,4.415504,Thurledeweg 100 Rotterdam,Rotterdam,Stopcontact McDonalds Spaanse polder schuko,"51.926176,4.415504"
4.42354E+14,5.19446E+13,51.9446402,4.423542023,Sidelingeplein 190 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1239031 mennekes,"51.944640196538,4.42354202270508"
4.42354E+14,5.19446E+13,51.9446402,4.423542023,Sidelingeplein 190 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1239031 mennekes,"51.944640196538,4.42354202270508"
4.4252E+13,5.18975E+13,51.89748435,4.425204992,Directiekade 2 Rotterdam,Rotterdam,Stopcontact ICDuBo schuko,"51.897484346682,4.4252049922943"
442534,5192794,51.92794,4.42534,Breevaartstraat 12 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1243071 mennekes,"51.92794,4.42534"
442534,5192794,51.92794,4.42534,Breevaartstraat 12 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1243071 mennekes,"51.92794,4.42534"
4426326,51937984,51.937984,4.426326,Burgemeester Baumannlaan 95-97 Rotterdam,Rotterdam,Stopcontact Koevermans Tweewielers schuko,"51.937984,4.426326"
