ID,X,Y,osm_id,code,fclass,name
1,92567.5137,439299.2494,2432335353,2501,supermarket,Dirk
2,91906.52541,435678.6134,29535104,2724,memorial,Hendrik Tollens
3,91078.93213,436005.4116,1456898028,2722,museum,'40'45NU
4,90644.44801,436258.7221,2798489794,2501,supermarket,Supermarkt tromp
5,90625.30694,436238.6731,2798490317,2501,supermarket,Markt Eastern Food
6,90603.94289,437313.9561,2798545688,2501,supermarket,Saman Minimarkt
7,90547.44561,437293.8435,2798545962,2501,supermarket,Stokrotka
8,92470.35274,438071.1873,3901034557,2082,school,Grafisch Lyceum Rotterdam
9,92361.6482,438174.7256,3901037857,2082,school,Zadkine
10,91779.31345,437904.0424,1912221471,2501,supermarket,Centraal
11,91082.75937,436433.0105,34044420,2501,supermarket,Albert Heijn
12,91067.06426,438434.5154,34044421,2501,supermarket,Albert Heijn
13,90171.77787,437010.6261,34044422,2501,supermarket,Albert Heijn
14,92445.92597,436252.5773,34044435,2501,supermarket,Albert Heijn
15,93221.75632,438135.6928,34044436,2501,supermarket,Albert Heijn
16,91169.55852,438189.194,1468938870,2724,memorial,Capitulatie 14 mei 1940
17,91997.17435,438673.1583,34045012,2501,supermarket,ALDI
18,93328.04021,438939.4126,34045015,2501,supermarket,ALDI
19,91505.77223,437133.6173,34045021,2501,supermarket,ALDI
20,91972.19683,438658.7524,34045486,2501,supermarket,Albert Heijn
21,88700.12022,437034.0291,839111802,2082,school,OBS Finlandia
22,88328.1693,437080.9456,839117319,2501,supermarket,Dirk van den Broek
23,89061.97457,436919.1323,839132209,2082,school,PCBS Prinses Margriet
24,89114.59367,437244.0895,840558626,2253,swimming_pool,Zwembad West
25,89114.59367,437244.0895,840558626,2251,sports_centre,Zwembad West
26,88385.39809,437123.5556,847650889,2110,hospital,"Medisch Centrum ""De Boei"""
27,89175.50747,436964.6921,1479179447,2082,school,Duo2002
28,93532.47234,437436.6858,3367958635,2501,supermarket,Albert Heijn
29,91044.94614,437856.2585,1933475043,2251,sports_centre,Sportcomplex Nenijto
30,90958.35577,436600.3916,1482481129,2084,college,Albeda
31,89565.81929,436098.0712,1482519194,2501,supermarket,Albert Heijn
32,90798.94255,435729.3142,1482575921,2082,school,Delfshaven
33,90777.01872,435684.5321,1482575937,2083,kindergarten,
34,89266.10051,436951.7948,1482705503,2082,school,De Starrenburg
35,89572.67502,436853.4625,1483272467,2723,monument,40-45
36,92991.49741,436820.88,1935316596,2501,supermarket,Spar van der Kreeken
37,89149.86572,437231.8415,34049767,2251,sports_centre,Sportcentrum West
38,95900.116,436956.7296,34049769,2251,sports_centre,Sportcentrum Woudestein (Erasmus Universiteit)
39,90665.03463,435305.5454,34050516,2721,attraction,Scheepswerf De Delft
40,93775.91613,437537.3665,34050657,2722,museum,Openbaar Vervoer Museum
41,95732.24573,436780.6345,3951587362,2501,supermarket,Spar University
42,92080.93778,437546.327,34051012,2721,attraction,Holland Casino
43,92057.28506,436742.8814,34051015,2722,museum,Sonneveldhuis
44,93384.25637,437071.8063,34051036,2722,museum,Mariniersmuseum
45,93293.16003,437256.8325,34051054,2721,attraction,Kubuswoningen
46,92823.89847,438356.0178,1949005113,2120,doctors,GC Noordplein
47,92682.1907,438642.1831,1949076306,2501,supermarket,Gazi
48,92150.55844,437674.7557,4354656391,2501,supermarket,unilever
49,92082.11065,437353.0622,4354656494,2501,supermarket,Albert heijn
50,92542.93369,438875.4699,1949117231,2082,school,Het Plein
51,91916.69979,437726.9373,4355268564,2501,supermarket,Albert Heijn to go
52,92343.38629,438923.2537,1949150379,2120,doctors,Steffens & Balvert
53,92347.55087,438986.6243,1949154008,2501,supermarket,Sahan
54,92549.06618,438914.8934,1949162567,2007,library,Oude Noorden
55,92580.32406,437209.7244,4355444594,2501,supermarket,Albert Heijn to gol
56,92867.47026,438701.5187,1949208856,2082,school,Prinses Julianaschool
57,92929.14887,438622.5311,1949254554,2251,sports_centre,Snelleman
58,93003.23641,437563.9013,1949306625,2501,supermarket,Jumbo
59,93138.48255,437966.3052,1950478811,2082,school,Rudolf Steiner College
60,91430.42908,436906.03,1498651815,2723,monument,Van 't Hoff
61,93067.57659,438707.2022,1962361863,2504,mall,Garage C
62,91737.77108,437214.2165,2502444187,2082,school,Augustinusschool
63,91992.95219,437271.1235,2502444191,2012,community_centre,Goethe-Institut Niederlande
64,91806.34112,437257.3781,2502444194,2501,supermarket,May Fung
65,91877.39902,437273.1707,2502444196,2501,supermarket,Oriental Rotterdam
66,91992.44711,437277.4499,2502444198,2012,community_centre,Pauluskerk
67,91717.5803,437268.782,2502444199,2501,supermarket,Shang Hai
68,91959.74508,437310.6639,2502444203,2501,supermarket,Wah Nam Hong
69,91265.49794,436484.7545,1498833526,2501,supermarket,Ekoplaza
70,92219.50188,437046.5837,1498937188,2082,school,Piet Zwart Institute
71,92891.54467,436360.7276,1500029717,2723,monument,De Boeg
72,91881.51428,435362.7396,1500033338,2724,memorial,Herdenking van strijd en verzet 1940-1945
73,91557.16926,438597.8099,205455153,2253,swimming_pool,Van Maanenbad
74,91557.16926,438597.8099,205455153,2253,swimming_pool,Van Maanenbad
75,92722.3,437105.0648,206395234,2722,museum,Het Schielandshuis
76,90681.59515,437865.549,877015443,2721,attraction,Mensenapen
77,92859.15485,437589.3122,1974983358,2501,supermarket,Marqt
78,95655.86796,436782.7308,4003292177,2007,library,Rotterdamsch Leescabinet
79,95758.12776,436886.0866,4003342397,2201,theatre,Erasmus Paviljoen
80,88264.08141,437030.7391,1978989117,2501,supermarket,Grab 'n Go
81,93578.74244,437679.4255,1984913268,2501,supermarket,Dirk Supermarket
82,94933.14801,437179.926,1985339250,2723,monument,WO2
83,96092.84711,437381.0843,1985339251,2723,monument,WO2
84,93084.28916,437209.7338,4379186090,2501,supermarket,Wah Nam Hong
85,91689.01671,437599.3203,906600013,2251,sports_centre,Fit For Free
86,92799.899,437468.0886,2532067221,2501,supermarket,Albert Heijn
87,89951.50331,436428.1808,1538640742,2007,library,Delfshaven
88,93120.37717,437976.8995,931720309,2251,sports_centre,Gymzaal Alkemadehof
89,93826.54075,437760.8948,931720313,2251,sports_centre,Gymzaal Cosmicus College
90,91737.02479,437227.5559,931720314,2251,sports_centre,Gymzaal Josephstraat
91,95384.77383,436471.3269,290924768,2501,supermarket,PLUS
92,93808.65458,437246.5915,290952527,2110,hospital,Havenziekenhuis
93,91540.37088,436317.4057,4067813390,2110,hospital,Erasmus MC - Rochussenstraat
94,91892.84687,435590.5173,298618334,2724,memorial,
95,93149.61025,437661.3835,4406738710,2501,supermarket,Gimsel
96,91891.0636,436344.7572,1599898060,2110,hospital,Erasmus MC - Sophia
